staffpin,confirmation_date
00016957,1999-07-01
00016965,1999-07-01
00016985,1999-07-01
00016991,1999-07-01
00016998,1999-07-01
00017004,1999-07-01
00017029,1999-07-01
00017034,1999-07-01
00017039,1999-07-01
00017052,1999-07-01
00017080,1999-07-01
00017100,1999-07-01
00017107,1999-07-01
00017117,1999-07-01
00017127,1999-07-01
00017133,1999-07-01
00017149,1999-07-01
00017166,1999-07-01
00017167,1999-07-01
00017176,1999-07-01
00017177,1999-07-01
00017184,1999-07-01
00017195,1999-07-01
00017200,1999-07-01
00017201,1999-07-01
00017207,1999-07-01
00017214,1999-07-01
00017217,1999-07-01
00017231,1999-07-01
00017238,1999-07-01
00017251,1999-07-01
00017259,1999-07-01
00017260,1999-07-01
00017273,1999-07-01
00017278,1999-07-01
00017284,1999-07-01
00017294,2018-01-01
00017305,1999-07-01
00017338,1999-07-01
00017345,1999-07-01
00017350,1999-07-01
00017353,1999-07-01
00017363,1999-07-01
00017365,1999-07-01
00017389,1999-07-01
00017391,1999-07-01
00017398,1999-07-01
00017401,1999-07-01
00017421,1999-07-01
00017429,1999-07-01
00017440,1999-07-01
00017452,1999-07-01
00017453,1999-07-01
00017456,1999-07-01
00017458,1999-07-01
00017472,1999-07-01
00017481,1999-07-01
00017489,1999-07-01
00017502,1999-07-01
00017507,1999-07-01
00017514,1999-07-01
00017516,1999-07-01
00017523,1999-07-01
00017539,1999-07-01
00017544,1999-07-01
00017555,1999-07-01
00017556,1999-07-01
00017561,1999-07-01
00017563,1999-07-01
00017568,1999-07-01
00017573,1999-07-01
00017586,1999-07-01
00017590,1999-07-01
00017612,1999-07-01
00017613,1999-07-01
00017642,1999-07-01
00017650,1999-07-01
00017662,1999-07-01
00017682,1999-07-01
00017697,1999-07-01
00017705,1999-07-01
00017706,1999-07-01
00017737,1999-07-01
00017746,1999-07-01
00017747,1999-07-01
00017749,1999-07-01
00017753,1999-07-01
00017765,1999-07-01
00017766,1999-07-01
00017795,1999-07-01
00017801,1999-07-01
00017804,1999-07-01
00017806,1999-07-01
00017807,1999-07-01
00017808,1999-07-01
00017827,1999-07-01
00017835,1999-07-01
00017863,1999-07-01
00017868,1999-07-01
00017873,1999-07-01
00017884,1999-07-01
00017894,1999-07-01
00017904,1999-07-01
00017907,1999-07-01
00017920,1999-07-01
00017939,1999-07-01
00017949,1999-07-01
00017957,1999-07-01
00017968,1999-07-01
00017988,1999-07-01
00018017,1999-07-01
00018023,1999-07-01
00018027,1999-07-01
00018028,1999-07-01
00018062,1999-07-01
00018063,1999-07-01
00018084,1999-07-01
00018107,1999-07-01
00018113,1999-07-01
00018122,1999-07-01
00018134,1999-07-01
00018143,1999-07-01
00018144,1999-07-01
00018145,1999-07-01
00018157,1999-07-01
00018165,1999-07-01
00018167,1999-07-01
00018171,1999-07-01
00018193,1999-07-01
00018194,1999-07-01
00018214,1999-07-01
00018219,1999-07-01
00018228,1999-07-01
00018246,1999-07-01
00018257,1999-07-01
00018275,1999-07-01
00018278,1999-07-01
00018288,1999-07-01
00018289,1999-07-01
00018292,1999-07-01
00018307,1999-07-01
00018327,1999-07-01
00018329,1999-07-01
00018334,1999-07-01
00018346,1999-07-01
00018355,1999-07-01
00018363,1999-07-01
00018369,1999-07-01
00018389,1999-07-01
00018435,1999-07-01
00018439,1999-07-01
00018444,1999-07-01
00018454,1999-07-01
00018462,1999-07-01
00018488,1999-07-01
00018491,1999-07-01
00018492,1999-07-01
00018513,1999-07-01
00018517,1999-07-01
00018546,1999-07-01
00018575,1999-07-01
00018578,1999-07-01
00018579,1999-07-01
00018594,1999-07-01
00018596,1999-07-01
00018598,1999-07-01
00018601,1999-07-01
00018610,1999-07-01
00018617,1999-07-01
00018618,1999-07-01
00018625,1999-07-01
00018627,1999-07-01
00018629,1999-07-01
00018641,1999-07-01
00018644,1999-07-01
00018647,1999-07-01
00018648,1999-07-01
00018660,1999-07-01
00018680,1999-07-01
00018689,1999-07-01
00018703,1999-07-01
00018709,1999-07-01
00018727,1999-07-01
00018728,1999-07-01
00018731,1999-07-01
00018734,1999-07-01
00018742,1999-07-01
00018745,1999-07-01
00018748,1999-07-01
00018754,1999-07-01
00018756,1999-07-01
00018758,1999-07-01
00018766,1999-07-01
00018767,1999-07-01
00018773,1999-07-01
00018775,1999-07-01
00018777,1999-07-01
00018782,1999-07-01
00018794,1999-07-01
00018800,1999-07-01
00018802,1999-07-01
00018803,1999-07-01
00018804,1999-07-01
00018806,1999-07-01
00018820,1999-07-01
00018821,1999-07-01
00018826,1999-07-01
00018831,1999-07-01
00018844,1999-07-01
00018847,1999-07-01
00018859,1999-07-01
00018870,1999-07-01
00018874,1999-07-01
00018875,1999-07-01
00018876,1999-07-01
00018878,1999-07-01
00018880,1999-07-01
00018890,1999-07-01
00018903,1999-07-01
00018928,1999-07-01
00018935,1999-07-01
00018936,1999-07-01
00018937,1999-07-01
00018945,1999-07-01
00018946,1999-07-01
00018965,1999-07-01
00018974,1999-07-01
00018981,1999-07-01
00018982,1999-07-01
00019000,1999-07-01
00019002,1999-07-01
00019006,1999-07-01
00019015,1999-07-01
00019032,1999-07-01
00019035,1999-07-01
00019044,1999-07-01
00019053,1999-07-01
00019060,1999-07-01
00019071,1999-07-01
00019072,1999-07-01
00019083,1999-07-01
00019085,1999-07-01
00019089,1999-07-01
00019091,1999-07-01
00019095,1999-07-01
00019103,1999-07-01
00019111,1999-07-01
00019117,1999-07-01
00019119,1999-07-01
00019122,1999-07-01
00019125,1999-07-01
00019127,1999-07-01
00019131,1999-07-01
00019170,1999-07-01
00019178,1999-07-01
00019181,1999-07-01
00019182,1999-07-01
00019184,1999-07-01
00019186,1999-07-01
00019209,1999-07-01
00019224,1999-07-01
00019239,1999-07-01
00019245,1999-07-01
00019256,1999-07-01
00019259,1999-07-01
00019263,1999-07-01
00019264,1999-07-01
00019276,1999-07-01
00019281,1999-07-01
00019286,1999-07-01
00019289,1999-07-01
00019291,1999-07-01
00019293,1999-07-01
00019296,1999-07-01
00019304,1999-07-01
00019320,1999-07-01
00019330,1999-07-01
00019339,1999-07-01
00019341,1999-07-01
00019350,1999-07-01
00019357,1999-07-01
00019370,1999-07-01
00019378,1999-07-01
00019395,1999-07-01
00019398,1999-07-01
00019407,1999-07-01
00019430,1999-07-01
00019434,1999-07-01
00019435,1999-07-01
00019443,1999-07-01
00019449,1999-07-01
00019455,1999-07-01
00019467,1999-07-01
00019483,1999-07-01
00019498,1999-07-01
00019505,1999-07-01
00019513,1999-07-01
00019518,1999-07-01
00019521,1999-07-01
00019537,1999-07-01
00019538,1999-07-01
00019547,1999-07-01
00019556,1999-07-01
00019564,1999-07-01
00019566,1999-07-01
00019577,1999-07-01
00019579,1999-07-01
00019584,1999-07-01
